feature,auc_clean,auc_corrupted,delta
deltadelta1_std,0.6811165845648604,0.7794417077175698,0.09832512315270947
static3_std,0.6788177339901478,0.5002627257799671,-0.17855500821018067
static16_mean,0.667783251231527,0.635927750410509,-0.03185550082101807
deltadelta0_std,0.6592118226600985,0.7795730706075533,0.12036124794745484
delta16_std,0.6557963875205255,0.5600985221674877,-0.09569786535303781
static6_mean,0.6460098522167488,0.621576354679803,-0.024433497536945792
static18_mean,0.6431855500821018,0.5445320197044334,-0.09865353037766833
delta17_std,0.6418062397372742,0.5862397372742201,-0.05556650246305417
deltadelta17_std,0.6417405582922824,0.63376026272578,-0.007980295566502371
static12_std,0.6375697865353038,0.6089655172413793,-0.028604269293924567
delta15_mean,0.6373070607553366,0.5139901477832512,-0.12331691297208536
deltadelta3_mean,0.6273891625615764,0.5896551724137931,-0.037733990147783336
static15_mean,0.6264367816091954,0.5764203612479475,-0.05001642036124787
deltadelta10_mean,0.6255172413793104,0.6357307060755337,0.010213464696223307
deltadelta4_mean,0.623448275862069,0.601247947454844,-0.022200328407224967
deltadelta11_mean,0.6224958949096879,0.5510344827586207,-0.07146141215106727
static15_std,0.6150738916256158,0.525911330049261,-0.08916256157635472
deltadelta16_std,0.6141215106732348,0.589983579638752,-0.024137931034482807
deltadelta9_mean,0.6009523809523809,0.5061740558292283,-0.09477832512315265
deltadelta5_mean,0.5968472906403941,0.5242036124794746,-0.07264367816091954
deltadelta8_mean,0.5959934318555008,0.508440065681445,-0.08755336617405585
delta8_mean,0.595927750410509,0.575336617405583,-0.0205911330049261
static13_std,0.5904105090311987,0.5038095238095238,-0.08660098522167492
delta7_mean,0.5876518883415436,0.6088998357963875,0.02124794745484393
static14_std,0.5858784893267652,0.525615763546798,-0.060262725779967274
deltadelta18_std,0.58311986863711,0.5579638752052545,-0.025155993431855483
static17_mean,0.5823973727422004,0.5035139573070607,-0.07888341543513966
deltadelta7_mean,0.5764532019704434,0.501871921182266,-0.07458128078817738
delta18_std,0.5755336617405583,0.532183908045977,-0.04334975369458127
static9_mean,0.569983579638752,0.7107060755336617,0.1407224958949097
static4_mean,0.5672577996715928,0.5490968801313629,-0.018160919540229914
delta2_mean,0.5649261083743843,0.650607553366174,0.08568144499178976
delta12_mean,0.5622331691297209,0.5082758620689656,-0.0539573070607553
delta11_mean,0.5596387520525452,0.508440065681445,-0.051198686371100255
static4_std,0.5555336617405583,0.5020032840722496,-0.053530377668308704
static2_std,0.5549096880131363,0.5261740558292283,-0.028735632183908066
static17_std,0.5543185550082101,0.5244663382594417,-0.02985221674876848
deltadelta15_mean,0.55247947454844,0.5549753694581281,0.0024958949096880456
delta6_mean,0.5489655172413793,0.6746469622331691,0.1256814449917898
static16_std,0.546863711001642,0.5119540229885058,-0.03490968801313621
static7_mean,0.5455172413793103,0.6763546798029556,0.13083743842364526
delta18_mean,0.5427914614121511,0.5226929392446633,-0.020098522167487753
deltadelta16_mean,0.542528735632184,0.5327093596059114,-0.009819376026272586
delta14_mean,0.541871921182266,0.5341871921182266,-0.007684729064039386
delta10_mean,0.5415106732348112,0.5525451559934318,0.011034482758620623
delta0_mean,0.5367487684729064,0.5661412151067323,0.029392446633825897
delta17_mean,0.5347126436781608,0.5573399014778325,0.022627257799671674
deltadelta0_mean,0.5345484400656815,0.5460098522167487,0.011461412151067218
delta4_mean,0.5327750410509031,0.5746141215106733,0.04183908045977014
delta9_mean,0.5323809523809524,0.562528735632184,0.030147783251231575
delta16_mean,0.5300821018062397,0.5308045977011494,0.0007224958949096916
static18_std,0.5273234811165846,0.5007881773399014,-0.026535303776683117
delta0_std,0.526568144499179,0.6558620689655172,0.12929392446633825
deltadelta1_mean,0.5263054187192118,0.5307060755336617,0.004400656814449899
static19_std,0.5235467980295567,0.5348768472906404,0.011330049261083719
deltadelta12_mean,0.5176683087027915,0.5066338259441707,-0.011034482758620734
static5_std,0.5174055829228243,0.5577339901477832,0.040328407224958895
delta19_std,0.5151724137931034,0.5132348111658456,-0.0019376026272578395
delta13_mean,0.5128735632183908,0.5590147783251231,0.0461412151067323
static8_mean,0.5126436781609196,0.713431855500821,0.2007881773399014
delta3_std,0.5117898193760263,0.7172742200328407,0.2054844006568144
deltadelta3_std,0.5099507389162562,0.811888341543514,0.3019376026272578
delta19_mean,0.5090311986863711,0.5316584564860427,0.022627257799671563
deltadelta19_std,0.5084072249589491,0.5009852216748769,-0.007422003284072165
static19_mean,0.5080788177339901,0.5949753694581281,0.08689655172413802
delta3_mean,0.5050903119868637,0.5594088669950739,0.054318555008210145
deltadelta17_mean,0.5044991789819375,0.5330049261083745,0.028505747126436942
deltadelta19_mean,0.5023316912972086,0.5237110016420361,0.02137931034482754
deltadelta14_mean,0.5018390804597701,0.5066666666666667,0.004827586206896606
deltadelta13_mean,0.5013793103448276,0.521543513957307,0.020164203612479392
deltadelta18_mean,0.501215106732348,0.5481773399014779,0.04696223316912984
deltadelta6_mean,0.5006568144499179,0.5911986863711002,0.09054187192118224
